ID,PRODUS_ID,CARACTERISTICA_ID,MISC
321,1,152,
322,1,284,
323,1,398,
324,1,394,
325,1,391,
326,1,390,
327,1,3867,
300,3,313,
301,3,441,
302,3,566,
303,3,2744,
304,3,3219,
305,3,3891,
271,4,256,
272,4,284,
534,6,2391,
535,6,3876,
536,6,3879,
225,7,2705,
226,7,3932,
278,9,454,
507,8,441,
508,8,479,
509,8,596,
279,9,455,
280,9,528,
281,9,582,
282,9,772,
273,4,347,
274,4,526,
547,338,5,
548,338,41,
549,338,42,
550,338,44,
551,338,558,
552,338,750055,
553,338,750057,
554,338,750058,
555,338,4079,
556,338,417259,
557,338,417271,
558,338,417273,
559,343,195,
560,343,212,
561,343,198,
562,343,151,
563,343,238,
564,343,3847,
565,343,3848,
566,343,3845,
567,343,3974,
568,343,3964,
569,343,3959,
570,343,3956,
571,343,3966,
572,343,3913,
573,343,3968,
574,343,3963,
319,1,72,
755,10,767,
320,1,95,
275,4,4056,
269,4,160,
270,4,161,
283,9,885,
284,9,1516,
285,9,3864,
286,9,3911,
287,9,4044,
288,9,441850,
306,3,3900,
307,3,3965,
308,3,750007,
328,1,3877,
299,3,295,
329,1,3969,
537,6,3881,
538,6,3912,
539,6,4005,
540,6,750009,
541,6,750010,
542,6,750011,
543,6,417260,
544,6,417264,
545,6,417268,
546,6,750012,
575,343,3957,
224,7,95,
289,9,750013,
290,9,750014,
510,8,979,
511,8,1328,
512,8,1675,
513,8,3990,
514,337,5,
515,337,14,
276,9,282,
277,9,295,
330,1,3994,
331,1,233739,
368,334,18,
369,334,8,
370,334,20,
371,334,3856,
372,334,3876,
373,334,3894,
374,334,3951,
375,334,3903,
376,334,4081,
377,334,406263,
378,334,406276,
379,334,750014,
380,334,436403,
381,334,54240,
382,335,7,
383,335,12,
384,335,3904,
385,335,3923,
386,335,750009,
387,335,608183,
388,335,608187,
389,335,608195,
390,335,417265,
391,335,417270,
392,335,417266,
393,335,417260,
394,335,4069,
576,343,608191,
577,343,608197,
578,343,608198,
579,343,608195,
580,343,608193,
581,343,4079,
582,343,4080,
583,343,4078,
584,343,608196,
585,343,608192,
586,343,4076,
516,337,41,
517,337,290,
518,337,291,
519,337,324,
520,337,353,
521,337,398,
522,337,750051,
523,337,750052,
524,337,750053,
525,337,750054,
526,337,750055,
527,337,3843,
528,337,750056,
529,337,4077,
530,337,608188,
531,337,608193,
532,337,608199,
533,6,140,
587,343,608187,
438,339,3,
439,339,6,
440,339,20,
441,339,1426,
442,339,1413,
443,339,2013,
444,339,2153,
445,339,3846,
446,339,4016,
447,339,608191,
448,339,4083,
449,339,4085,
450,339,417257,
451,340,5,
452,340,13,
453,340,14,
454,340,1566,
455,340,1622,
456,340,3973,
457,340,3966,
458,340,608180,
459,340,608194,
460,340,608190,
461,340,608187,
462,340,608184,
463,340,4085,
464,340,4077,
465,340,4073,
466,340,4068,
467,340,4067,
468,340,4069,
469,341,5,
470,341,19,
471,341,69,
472,341,189,
473,341,191,
